keys,en,pt,it,zh,ko,ja,sh,gm,fr,pl,tu
KILLER_REWARD_DESCRIPTION,Every sacrifice has a 60% chance to add a {PLANT_CARNIVORE_PLANT} and a random {GROUP_COWS} card to your hand. Limit of 10 cards per turn,Cada sacrifício tem 50% de chance de adicionar uma carta de {PLANT_CARNIVORE_PLANT} e uma carta de {GROUP_COWS} aleatório à sua mão. Limite de 5 cartas por turno,Ogni sacrificio ha il 60% di possibilità di aggiungere una carta {PLANT_CARNIVORE_PLANT} e una carta {GROUP_COWS} casuale alla tua mano. Limite di 10 carte per turno,每次牺牲都有60%的几率将一张{PLANT_CARNIVORE_PLANT}和一张随机{GROUP_COWS}卡牌添加到您的手牌中。每回合最多获得10张卡牌。,희생 시 60% 확률로 {PLANT_CARNIVORE_PLANT} 및 무작위 {GROUP_COWS} 카드가 손에 추가됩니다. 매 턴 최대 10장의 카드만 획득 가능합니다,犠牲になると、60%の確率で{PLANT_CARNIVORE_PLANT}とランダムな{GROUP_COWS}カードが手に入ります。ターンごとのカードの上限は10枚,Cada sacrificio tiene un 60% de probabilidad de añadir una carta {PLANT_CARNIVORE_PLANT} y una carta {GROUP_COWS} aleatoria a tu mano. Límite de 10 cartas por turno,"Jedes Opfer hat eine 60% Chance, eine {PLANT_CARNIVORE_PLANT} und eine zufällige {GROUP_COWS}-Karte in deine Hand zu legen. Limit von 10 Karten pro Zug",Chaque sacrifice a 60% de chance d'ajouter une {PLANT_CARNIVORE_PLANT} et une carte {GROUP_COWS} aléatoire à votre main. Limite de 10 cartes par tour,Każda ofiara ma 60% szansę na dodanie do twojej ręki {PLANT_CARNIVORE_PLANT} oraz losowej karty {GROUP_COWS}. Limit 10 kart na turę,Her kurbanlıkta %60 şansla elinize bir {PLANT_CARNIVORE_PLANT} ve rastgele bir {GROUP_COWS} kartı eklenir. Tur başına 10 kart sınırı
BLACK_WATER,Black Water,Água Negra,Acqua Nera,黑水,블랙 워터,黒い水,Agua Negra,Schwarzwasser,Eau noire,Czarna Woda,Kara Su
BLACK_WATER_DESCRIPTION,+10 {PRODUCTION} to {ANIMALS} and now consume {FUEL} instead of {WATER}. Every increase of {WATER} cost on {ANIMALS} increases {FUEL} instead, +10 na {PRODUCTION} para {ANIMALS} e agora consome {FUEL} em vez de {WATER}. Todo aumento no custo de {WATER} dos animals aumenta o custo de {FUEL},+10 {PRODUCTION} per gli {ANIMALS} e ora consumano {FUEL} invece di {WATER}. Ogni aumento del costo dell'{WATER} negli {ANIMALS} aumenta il {FUEL},{ANIMALS}的{PRODUCTION}增加10，现在消耗{FUEL}而不是{WATER}。{ANIMALS}的{WATER}成本的每次增加都将增加{FUEL}。,"{ANIMALS}에 대한 {WATER} 대신 {FUEL}을 소비하며, {ANIMALS}의 {WATER} 비용 증가에 따라 {FUEL}도 증가합니다",{ANIMALS}に+10 {PRODUCTION} が付与され、{WATER} の代わりに{FUEL} を消費します。{ANIMALS}の{WATER}コストの増加は代わりに{FUEL}が増加します,+10 {PRODUCTION} para {ANIMALS} y ahora consumen {FUEL} en lugar de {WATER}. Cada aumento de costo de {WATER} en {ANIMALS} aumenta {FUEL} en su lugar,+10 {PRODUCTION} für {ANIMAL} und jetzt {FUEL}-Verbrauch anstelle von {WATER}. Jede Erhöhung der {WATER}-Kosten bei {ANIMALS} erhöht stattdessen {FUEL},+10 {PRODUCTION} pour les {ANIMALS} et ils consomment désormais {FUEL} au lieu de {WATER}. Chaque augmentation du coût en {WATER} sur les {ANIMALS} augmente le coût en {FUEL} à la place,+10 {PRODUCTION} dla {ANIMALS} i teraz zużywają {FUEL} zamiast {WATER}. Każde zwiększenie kosztu {WATER} dla {ANIMALS} zwiększa {FUEL},+10 {PRODUCTION} için {ANIMALS} ve artık {FUEL} yerine {WATER} tüketir. Her {ANIMALS} üzerindeki her {FUEL} maliyeti artışı {WATER} artırır
AZTEC_RITUALS,Aztec Rituals,Rituais Astecas,Riti Aztechi,阿兹特克仪式,아즈텍 의식,アステカの儀式,Rituales Aztecas,Aztekische Rituale,Rituels aztèques,Rytuały Azteków,Aztek Ritüelleri
AZTEC_RITUALS_DESCRIPTION,"Sacrifices give {WATER} equivalent to 2x of gold given by it, but 2x {WATER} cost to {ANIMALS}","Sacrifícios concedem {WATER} equivalente ao dobro de ouro concedido por ele, mas 2x custo de {WATER} para {ANIMALS}","I sacrifici danno {WATER} equivalente al doppio dell'oro dato da esso, ma 2x costo di {WATER} per gli {ANIMALS}",牺牲给予等于其所提供的金币的2倍{WATER}，但{ANIMALS}的{WATER}成本增加2倍。,"희생 시 해당 금액의 2배에 해당하는 {WATER}를 제공하지만, {ANIMALS}에 대한 {WATER} 비용도 2배로 증가합니다",犠牲は、それによって与えられるゴールドの2倍に相当する{WATER}を提供しますが、{ANIMALS}の{WATER}コストが2倍になります,"Los sacrificios otorgan {WATER} equivalente a 2x del oro dado por ello, pero 2x de costo de {WATER} para {ANIMALS}","Opfer geben {WATER} im Wert von 2x des von ihnen gegebenen Goldes, aber 2x {WATER}-Kosten für {ANIMAL}","Les sacrifices donnent {WATER} équivalent à 2x l'or donné par celui-ci, mais les coûts en {WATER} pour les {ANIMALS} sont doublés","Ofiary dostarczają {WATER} równowartości 2x złota z niej, ale 2x {WATER} koszt dla {ANIMALS}","Kurbanlar, onun verdiği altının 2 katı olan {WATER} sağlar, ancak {ANIMALS} üzerindeki her 2 kat {WATER} maliyeti artar"
GOING_WIDE,Going Wide,Expansão Voraz,Ampia Distribuzione,扩张,와이드 전략,広がる,Expandiéndose,Breitflächige Ausdehnung,Élargissement,Rozszerzenie,Genişlemek
GOING_WIDE_DESCRIPTION,10% chance of getting 1 card of {PLANT_SOY} everytime a {STRUCTURE} transforms an item. Limit of 10 cards per turn,50% de receber 1 carta de {PLANT_SOY} sempre que uma {STRUCTURE} transformar um item. Limite de 5 cartas por turno,10% di possibilità di ottenere 1 carta di {PLANT_SOY} ogni volta che una {STRUCTURE} trasforma un oggetto. Limite di 10 carte per turno,每当{STRUCTURE}转化物品时，有10%的几率获得1张{PLANT_SOY}卡牌。每回合最多获得10张卡牌。,"{STRUCTURE}가 아이템을 변환할 때마다 {PLANT_SOY} 카드를 얻을 확률이 10%이며, 매 턴 최대 10장의 카드만 획득 가능합니다",{STRUCTURE}がアイテムを変換するたびに、{PLANT_SOY}のカードを1枚手に入れる可能性が10%です。ターンごとのカードの上限は10枚,10% de probabilidad de obtener 1 carta de {PLANT_SOY} cada vez que una {STRUCTURE} transforma un ítem. Límite de 10 cartas por turno,"10% Chance, bei jeder Umwandlung eines {STRUCTURE} ein Karte von {PLANT_SOY} zu erhalten. Limit von 10 Karten pro Zug",10% de chance d'obtenir 1 carte de {PLANT_SOY} à chaque fois qu'une {STRUCTURE} transforme un objet. Limite de 10 cartes par tour,"10% szansy na otrzymanie 1 karty {PLANT_SOY} za każdym razem, gdy {STRUCTURE} przekształca przedmiot. Limit 10 kart na turę",Herhangi bir {STRUCTURE} bir nesneyi dönüştürdüğünde {PLANT_SOY} kartından 1 kart almanın %10 şansı vardır. Tur başına en fazla 10 kart limiti
PLANT_BASED_COWS,Plant Based Cows,Vaplantas,Mucche a Base Vegetale,植物化的牛,식물 기반 소들,植物ベースの牛,Vacas a Base de Plantas,Pflanzliche Kühe,Vaches à base de plantes,Roślinne Krowy,Bitkisel İnekler
PLANT_BASED_COWS_DESCRIPTION,All {GROUP_COWS} turns into {PLANT_PLANT_COW} and produces {ITEM_SOY_MILK},Todas {GROUP_COWS} se tornam {PLANT_PLANT_COW} e produzem {ITEM_SOY_MILK},Tutti i {GROUP_COWS} si trasformano in {PLANT_PLANT_COW} e producono {ITEM_SOY_MILK},所有{GROUP_COWS}变成{PLANT_PLANT_COW}并生产{ITEM_SOY_MILK}。,"모든 {GROUP_COWS}이 {PLANT_PLANT_COW}로 변하며, {ITEM_SOY_MILK}을 생산합니다",すべての{GROUP_COWS}が{PLANT_PLANT_COW}に変わり、{ITEM_SOY_MILK}を生産します,Todas las {GROUP_COWS} se convierten en {PLANT_PLANT_COW} y producen {ITEM_SOY_MILK},Alle {GROUP_COWS} werden zu {PLANT_PLANT_COW} und produzieren {ITEM_SOY_MILK},Toutes les {GROUP_COWS} deviennent des {PLANT_PLANT_COW} et produisent du {ITEM_SOY_MILK},Wszystkie {GROUP_COWS} zamieniają się w {PLANT_PLANT_COW} i produkują {ITEM_SOY_MILK},Tüm {GROUP_COWS} {PLANT_PLANT_COW} haline gelir ve {ITEM_SOY_MILK} üretir
ARBOREAL_BOUNTY,Arboreal Bounty,Abundância Arbórea,Benevolenza Arborea,树木的丰富,수목의 풍요,樹木の恩恵,Bendición Arbórea,Baumreicher Segen,Récompense arborée,Lesne Bogactwo,Ağaçlarının Bereketi
ARBOREAL_BOUNTY_DESCRIPTION,"Only one tree can be placed per island. 2x {PRODUCTION} and +1 {WATER} cost to {PLANTS} on the same island of the tree, if more than one tree on same island +5 {PRODUCTION} for all {PLANTS} instead of 2x","Apenas uma árvore pode ser colocada por ilha. 2x {PRODUCTION} e custo de +1 {WATER} para {PLANTS} no mesmo terreno da árvore, se houver mais de uma árvore na ilha +5 {PRODUCTION} ao invés de dobrar","Si può piazzare solo un albero per isola. 2x {PRODUCTION} e +1 costo di {WATER} per le {PLANTS} sulla stessa isola dell'albero, se ci sono più di un albero sulla stessa isola +5 {PRODUCTION} per tutte le {PLANTS} invece di 2x",每个岛上只能种植一棵树。与树位于同一岛上的{PLANTS}的{PRODUCTION}翻倍，但{WATER}成本增加1。如果同一岛上有多棵树，则所有{PLANTS}的{PRODUCTION}将增加5而不是翻倍。,"한 섬당 나무를 하나만 놓을 수 있으며, 해당 나무와 같은 섬의 {PLANTS}에 대한 {WATER} 비용이 2배로 증가하며, 같은 섬에 여러 나무가 있는 경우 {PLANTS} 모두에 대해 +5 {PRODUCTION}을 얻습니다",1つの島には1本の木しか置けません。木と同じ島の{PLANTS}には2x {PRODUCTION}と+1 {WATER} のコストがかかりますが、同じ島に複数の木がある場合は2xの代わりにすべての{PLANTS}に+5 {PRODUCTION} がかかります,"Solo se puede colocar un árbol por isla. 2x {PRODUCTION} y +1 costo de {WATER} para {PLANTS} en la misma isla del árbol, si hay más de un árbol en la misma isla +5 {PRODUCTION} para todas {PLANTS} en lugar de 2x","Nur ein Baum kann pro Insel platziert werden. 2x {PRODUCTION} und +1 {WATER} Kosten für {PLANTS} auf der gleichen Insel wie der Baum, wenn mehr als ein Baum auf derselben Insel steht +5 {PRODUCTION} für alle {PLANTS} statt 2x","Seul un arbre peut être planté par île. 2x {PRODUCTION} et +1 coût en {WATER} pour les {PLANTS} sur la même île que l'arbre, s'il y a plus d'un arbre sur la même île +5 {PRODUCTION} pour toutes les {PLANTS} au lieu de 2x","Na jedną wyspę można postawić tylko jedno drzewo. 2x {PRODUCTION} i +1 {WATER} koszt dla {PLANTS} na tej samej wyspie co drzewo, jeśli więcej niż jedno drzewo na tej samej wyspie +5 {PRODUCTION} dla wszystkich {PLANTS} zamiast 2x","Her adada yalnızca bir ağaç yerleştirilebilir. Aynı adadaki ağacın yanındaki {PRODUCTION} için 2 kat {PLANTS} ve +1 {WATER} maliyeti, birden fazla ağaç aynı adada ise hepsinin {PRODUCTION} için 2 kat yerine +5 {PLANTS} sağlar"
DIONISIAN_RITES,Dionysian Rites,Ritual para Dionísio,Riti Dionisiaci,狄奥尼修斯仪式,디오니소스 제례,ディオニューソスの儀式,Ritos Dionisíacos,Dionysische Rituale,Rites Dionysiens,Obrzędy Dionizyjskie,Dionysian Ayinleri
DIONISIAN_RITES_DESCRIPTION,Every 10 turns get +4 {PRODUCTION} to {PLANTS} and 3x {PRODUCTION} {PLANT_GRAPES} for 5 turns,A cada 10 turnos +4 {PRODUCTION} para {PLANTS} e 3x {PRODUCTION} para {PLANT_GRAPES} durante 5 turnos,Ogni 10 turni ottieni +4 {PRODUCTION} per {PLANT} e 3x {PRODUCTION} {PLANT_GRAPES} per 5 turni.,每隔10回合，{PLANTS}的{PRODUCTION}增加4，并在5回合内{PLANT_GRAPES}的{PRODUCTION}增加3倍。,10턴마다 {PLANTS}에 대해 +4 {PRODUCTION} 및 5턴 동안 {PLANT_GRAPES}에 대해 3배 {PRODUCTION}을 얻습니다,10ターンごとに{PLANTS}に+4 {PRODUCTION} と、5ターン間{PLANT_GRAPES}に3x {PRODUCTION} が与えられます,Cada 10 turnos obten +4 {PRODUCTION} para {PLANTS} y 3x {PRODUCTION} {PLANT_GRAPES} durante 5 turnos,Alle 10 Runden erhalten Sie +4 {PRODUCTION} für {PLANTS} und 3x {PRODUCTION} {PLANT_GRAPES} für 5 Runden,"Tous les 10 tours, obtenez +4 {PRODUCTION} pour les {PLANTS} et 3x {PRODUCTION} pour les {PLANT_GRAPES} pendant 5 tours",Co 10 tur otrzymuj +4 {PRODUCTION} dla {PLANTS} i 3x {PRODUCTION} {PLANT_GRAPES} przez 5 tur,Her 10 turda {PRODUCTION} için +4 {PLANTS} ve 5 tur boyunca {PLANT_GRAPES} için 3 kat {PLANTS} alınır
HMM_POPCORN,"Hmm, Popcorn",Você falou em pipoca?,"Hmm, Popcorn",嗯，爆米花,"흠, 팝콘",ほら、ポップコーン,"Hmm, Palomitas","Hmm, Popcorn","Hmm, Pop-corn","Hmm, Popcorn","Hmm, Patlamış Mısır"
HMM_POPCORN_DESCRIPTION,"Every {ANIMAL} can eat {ITEM_POPCORN} as primary food, and if done so it gets 4x {PRODUCTION}","Todo {ANIMAL} pode comer {ITEM_POPCORN} como comida principal, ganhando 4x de {PRODUCTION} se assim fizer","Ogni {ANIMAL} può mangiare {ITEM_POPCORN} come cibo principale e, se lo fa, ottiene 4 volte {PRODUCTION}",每个{ANIMAL}都可以将{ITEM_POPCORN}作为主要食物，并且如果这样做，它会获得4倍的{PRODUCTION},"모든 {ANIMAL}은 주 식품으로 {ITEM_POPCORN}을 먹을 수 있으며, 그렇게 하면 4배의 {PRODUCTION}을 얻습니다",すべての{ANIMAL}は主食として{ITEM_POPCORN}を食べることができ、そうすると4倍の{PRODUCTION}を得ます,"Cada {ANIMAL} puede comer {ITEM_POPCORN} como alimento principal, y si lo hace, obtiene 4 veces {PRODUCTION}","Jedes {ANIMAL} kann {ITEM_POPCORN} als Hauptnahrungsmittel essen, und wenn es dies tut, erhält es 4-fach {PRODUCTION}","Chaque {ANIMAL} peut manger {ITEM_POPCORN} comme aliment principal, et s'il le fait, il obtient 4 fois {PRODUCTION}","Każde {ANIMAL} może jeść {ITEM_POPCORN} jako główne jedzenie, a jeśli to zrobi, dostaje 4 razy {PRODUCTION}","Her {ANIMAL}, {ITEM_POPCORN}’ü başlıca yiyecek olarak yiyebilir ve böyle yaparsa 4 kat {PRODUCTION} alır"
ELITE_COWS,Elite Cows,Vacas de Elite,Mucche d'élite,精英牛,엘리트 소들,エリート牛,Vacas Elite,Elite Kühe,Vaches Élites,Elitarne Krowy,Elit İnekler
ELITE_COWS_DESCRIPTION,+10 {PRODUCTION} to {GROUP_COWS} and double value for items produced by {GROUP_COWS},+10 de {PRODUCTION} para {GROUP_COWS} e items produzidos por {GROUP_COWS} tem o valor dobrado,+10 {PRODUCTION} per {GROUP_COWS} e valore doppio per gli oggetti prodotti da {GROUP_COWS},{GROUP_COWS}的{PRODUCTION}增加10，由{GROUP_COWS}生产的物品的价值翻倍。,{GROUP_COWS}에 대해 +10 {PRODUCTION} 및 {GROUP_COWS}가 생성하는 아이템 가치가 2배로 증가합니다,{GROUP_COWS}に+10 {PRODUCTION} が与えられ、{GROUP_COWS}によって生産されるアイテムの価値が2倍になります,+10 {PRODUCTION} para {GROUP_COWS} y valor doble para los ítems producidos por {GROUP_COWS},+10 {PRODUCTION} für {GROUP_COWS} und doppelter Wert für von {GROUP_COWS} produzierte Gegenstände,+10 {PRODUCTION} pour les {GROUP_COWS} et double la valeur des objets produits par les {GROUP_COWS},+10 {PRODUCTION} dla {GROUP_COWS} i podwójna wartość przedmiotów produkowanych przez {GROUP_COWS},{GRUP_INEKLER} için +10 {PRODUCTION} ve {GROUP_COWS} tarafından üretilen nesnelerin değeri iki kat artar
BRIGHT_CORN,Bright Corn,Milhos Brilhantes,Mais brillante,明亮的玉米,밝은 옥수수,明るいトウモロコシ,Maíz Brillante,Helles Mais,Maïs Lumineux,Jasna Kukurydza,Parlak Mısır
BRIGHT_CORN_DESCRIPTION,"{PLANT_CORN} cost no {WATER} but use {ENERGY} equivalent to what they would {WATER}, and 2x {PRODUCTION} and +5 {GOLD} to all {PLANT_CORN}","{PLANT_CORN} não custa {WATER} mas sim {ENERGY} equivalente ao que seria de {WATER}, e 2x de {PRODUCTION} e +5 de {GOLD} para todos {PLANT_CORN}","{PLANT_CORN} non consuma {WATER} ma usa {ENERGY} equivalente all'acqua che avrebbero usato, e 2x {PRODUCTION} e +5 {GOLD} per tutto {PLANT_CORN}",{PLANT_CORN}不消耗{WATER}，但使用等于它们本应消耗的{WATER}的{ENERGY}。{PLANT_CORN}的{PRODUCTION}翻倍，{GOLD}增加5。,"{PLANT_CORN}은 {WATER} 비용이 들지 않으며, 해당 {PLANT_CORN}에 대해 필요한 에너지는 {WATER}와 동등하며, 모든 {PLANT_CORN}에 대해 2배 {PRODUCTION} 및 +5 {GOLD}를 얻습니다",{PLANT_CORN}は{WATER}が必要ありませんが、彼らが{WATER}として使用するであろうものと同等の{ENERGY}を使用し、すべての{PLANT_CORN}に2x {PRODUCTION} と+5 {GOLD} が与えられます,"{PLANT_CORN} no cuesta {WATER}, pero usa {ENERGY} equivalente a lo que usaría en {WATER}, y 2x {PRODUCTION} y +5 {GOLD} para todas las {PLANT_CORN}","{PLANT_CORN} kostet kein {WATER}, sondern verwendet {ENERGY} entsprechend dem, was sie {WATER} würden, und 2x {PRODUCTION} und +5 {GOLD} für alle {PLANT_CORN}","Change le coût en {WATER} du {PLANT_CORN} en {ENERGY}, double la {PRODUCTION} et +5 {GOLD} pour tout le {PLANT_CORN}","{PLANT_CORN} nie kosztuje {WATER}, ale zużywa {ENERGY} równowartość temu, co by {WATER}, i 2x {PRODUCTION} oraz +5 {GOLD} dla wszystkich {PLANT_CORN}","{PLANT_CORN} için herhangi bir {WATER} maliyeti yok, ancak normalde harcayacağı {WATER} miktarına eşdeğer {ENERGY} kullanır ve tüm {PLANT_CORN} için 2 kat {PRODUCTION} ve +5 {GOLD} sağlar"
FUEL_GRAPES,Fuel Grapes,Uva de Petróleo,Uva carburante,燃料葡萄,연료 포도,燃料ブドウ,Uvas de Combustible,Treibstoff Trauben,Raisins Combustible,Paliwo z Winogron,Yakıt Üzümleri
FUEL_GRAPES_DESCRIPTION,"{PLANT_GRAPES} take no {WATER}, their {FUEL} cost is 90 times the amount of {PLANT_GRAPES} in the farm, their {PRODUCTION} is equivalent to the {FUEL} surplus, but cannot be used in {STRUCTURES}","{PLANT_GRAPES} não consomem {WATER}, o custo de {FUEL} deles é 90 vezes a quantidade de {PLANT_GRAPES} na fazenda, a {PRODUCTION} deles é equivalente ao excedente de {FUEL}, mas não pode ser usado em {STRUCTURES}","{PLANT_GRAPES} non richiedono {WATER}, il costo in {FUEL} è 90 volte la quantità di {PLANT_GRAPES} nella fattoria, la {PRODUCTION} è equivalente all'avanzo di {FUEL}, ma non può essere utilizzato in {STRUCTURES}",{PLANT_GRAPES} 不需要 {WATER}，它们的 {FUEL} 成本是农场中 {PLANT_GRAPES} 数量的 90 倍，其 {PRODUCTION} 等同于 {FUEL} 剩余量，但不能用于 {STRUCTURES},"{PLANT_GRAPES}은 {WATER}를 필요로하지 않으며, 농장 내 {PLANT_GRAPES} 양의 90 배인 {FUEL} 비용이 듭니다. {PRODUCTION}은 {FUEL} 투입량과 동등하나 {STRUCTURES}에서 사용할 수 없습니다.",{PLANT_GRAPES}は{WATER}を必要とせず、ファーム内の{PLANT_GRAPES}の量の90倍の{FUEL}コストがかかります。{PRODUCTION}は{FUEL}の余剰に等しく、ただし{STRUCTURES}で使用することはできません,"{PLANT_GRAPES} no requieren {WATER}, su costo de {FUEL} es 90 veces la cantidad de {PLANT_GRAPES} en la granja, su {PRODUCTION} es equivalente al excedente de {FUEL}, pero no se pueden usar en {STRUCTURES}","{PLANT_GRAPES} benötigen kein {WATER}, ihre {FUEL}-Kosten betragen das 90-fache der Menge an {PLANT_GRAPES} auf dem Bauernhof, ihre {PRODUCTION} entspricht dem {FUEL}-Überschuss, kann jedoch nicht in {STRUCTURES} verwendet werden","{PLANT_GRAPES} ne nécessitent pas {WATER}, leur coût en {FUEL} est 90 fois la quantité de {PLANT_GRAPES} dans la ferme, leur {PRODUCTION} est équivalente à l'excédent de {FUEL}, mais ne peut pas être utilisé dans les {STRUCTURES}","{PLANT_GRAPES} nie potrzebują {WATER}, ich koszt {FUEL} wynosi 90 razy ilość {PLANT_GRAPES} na farmie, ich {PRODUCTION} jest równoważna nadwyżce {FUEL}, ale nie mogą być używane w {STRUCTURES}","{PLANT_GRAPES} suya ihtiyaç duymaz, {FUEL} maliyeti çiftlikteki {PLANT_GRAPES} miktarının 90 katıdır, {PRODUCTION} değeri {FUEL} fazlasına eşdeğerdir, ancak {STRUCTURES} içinde kullanılamaz"
THE_MIRACLE,The Miracle,João 2:1-11,Il miracolo,奇迹,기적,奇跡,El Milagro,Das Wunder,Le Miracle,Cud,Mucize
THE_MIRACLE_DESCRIPTION,"Turns all {WATER} surpluss into {ITEM_WINE}, 20 {WATER} to 1 {ITEM_WINE} ratio","Tranforma o excedente de {WATER} em {ITEM_WINE}, use 20 {WATER} para 1 {ITEM_WINE}","Trasforma tutto l'eccesso di {WATER} in {ITEM_WINE}, con un rapporto di 20 {WATER} a 1 {ITEM_WINE}",将所有{WATER}的剩余转化为{ITEM_WINE}，20{WATER}兑换1{ITEM_WINE}。,{WATER} 과잉분을 모두 {ITEM_WINE}으로 전환합니다. 20 {WATER} 당 1 {ITEM_WINE} 비율,すべての{WATER}の余剰を{ITEM_WINE}に変えます。20 {WATER} から1 {ITEM_WINE} の比率で,"Convierte todo el excedente de {WATER} en {ITEM_WINE}, relación de 20 {WATER} a 1 {ITEM_WINE}","Verwandelt jeden {WATER} Überschuss in {ITEM_WINE}, Verhältnis 20 {WATER} zu 1 {ITEM_WINE}","Transforme le surplus d'{WATER} en {ITEM_WINE}, au rythme de 20 {WATER} pour 1 {ITEM_WINE}","Przekształca wszelkie nadwyżki {WATER} w {ITEM_WINE}, stosunek 20 {WATER} do 1 {ITEM_WINE}","Tüm fazla {WATER}yu {ITEM_WINE}a dönüştürür, 20 {WATER}dan 1 {ITEM_WINE} oranı"
